clubLabel,venueLabel,coordinates,countryLabel
Puerto Rico Capitals,Parque Yldefonso Solá Morales,Point(-66.0341835 18.2262229),United States of America
Harimau Muda B,Pasir Gudang Corporation Stadium,Point(103.898102777 1.461966666),Malaysia
Pasir Gudang United F.C.,Pasir Gudang Corporation Stadium,Point(103.898102777 1.461966666),Malaysia
Johor Darul Takzim II F.C.,Pasir Gudang Corporation Stadium,Point(103.898102777 1.461966666),Malaysia
Johor Darul Ta'zim III F.C.,Pasir Gudang Corporation Stadium,Point(103.898102777 1.461966666),Malaysia
Persikasi Bekasi,Patriot Stadium,Point(-106.385 31.7715),United States of America
Persipasi Bekasi,Patriot Stadium,Point(-106.385 31.7715),United States of America
Pensacola Flyers,Pensacola Civic Center,Point(-87.209372 30.416485),United States of America
KESC F.C.,Peoples Football Stadium,Point(66.988333 24.858611),Pakistan
Karachi Bazigar,Peoples Football Stadium,Point(66.988333 24.858611),Pakistan
Khalsa Sporting Club,Percy Perry Stadium,Point(-122.784 49.2903),Canada
PoCo City FC,Percy Perry Stadium,Point(-122.784 49.2903),Canada
Persikabo Bogor,Persikabo Stadium,Point(106.825181 -6.476573),Indonesia
Bogor FC,Persikabo Stadium,Point(106.825181 -6.476573),Indonesia
Petershill F.C.,Petershill Park,Point(-4.229803 55.877761),United Kingdom
Rossvale F.C.,Petershill Park,Point(-4.229803 55.877761),United Kingdom
Bay Area Breeze,Pioneer Stadium,Point(-122.061 37.6573),United States of America
VSI Tampa Bay FC,Plant City Stadium,Point(-82.107911 27.99749),United States of America
Q10293839,Lin Fong Sports Centre,Point(113.54611111 22.20888889),People's Republic of China
Q10317232,Lin Fong Sports Centre,Point(113.54611111 22.20888889),People's Republic of China
Inocentes FC,Polytechnic High School,Point(-97.28791 32.73161),United States of America
FC ŠTK 1914 Šamorín,Pomlé Stadium,Point(17.307 48.02266667),Slovakia
Pors Grenland,Pors Stadion,Point(9.642842 59.152127),Norway
Seacoast United Phantoms,Portsmouth High School,Point(-70.7658 43.0592),United States of America
FK FAP,Priboj City Stadium,Point(19.533981 43.564922),Serbia
Al-Faisaly FC,Prince Salman Bin Abdulaziz Sport City Stadium,Point(45.368021 25.886929),Saudi Arabia
Al-Feiha FC,Prince Salman Bin Abdulaziz Sport City Stadium,Point(45.368021 25.886929),Saudi Arabia
Al-Mojzel Club,Prince Salman Bin Abdulaziz Sport City Stadium,Point(45.368021 25.886929),Saudi Arabia
Mbabane Highlanders F.C.,Prince of Wales Stadium,Point(-2.080556 51.910833),United Kingdom
Umbelebele Jomo Cosmos FC,Prince of Wales Stadium,Point(-2.080556 51.910833),United Kingdom
Carlton S.C.,Carlton Recreation Ground,Point(144.961667 -37.783889),Australia
Nathi Lions F.C.,Princess Magogo Stadium,Point(30.971264 -29.744249),South Africa
Deveronvale F.C.,Princess Royal Park,Point(-2.517742 57.663326),United Kingdom
Eastbourne Borough F.C.,Priory Lane,Point(0.320767 50.804181),United Kingdom
Langney Wanderers F.C.,Priory Lane,Point(0.320767 50.804181),United Kingdom
Rivoli United F.C.,Prison Oval,Point(-76.950554 17.992555),Jamaica
Olympiakos Patras F.C.,Prosfygika Stadium,Point(21.741944 38.233611),Greece
Paniliakos F.C.,Pyrgos Stadium,Point(21.4282 37.6791),Greece
Varbergs BoIS FC,Påskbergsvallen,Point(12.26388889 57.09694444),Sweden
Queenstown Rovers,Queenstown Events Centre,Point(168.738333 -45.016111),New Zealand
Dalian Shide Siwu FC,Queenstown Stadium,Point(103.802 1.29589),Singapore
Tanjong Pagar United FC,Queenstown Stadium,Point(103.802 1.29589),Singapore
Étoile FC,Queenstown Stadium,Point(103.802 1.29589),Singapore
Liaoning Guangyuan FC,Queenstown Stadium,Point(103.802 1.29589),Singapore
Binh Dinh F.C.,Quy Nhơn Stadium,Point(109.22861111 13.77444444),Vietnam
San Diego Zest FC,RIMAC Arena,Point(-117.239 32.8853),United States of America
Oulun Palloseura,Raatti Stadium,Point(25.465805555 65.019694444),Finland
AC Oulu,Raatti Stadium,Point(25.465805555 65.019694444),Finland
Rabat Ajax F.C.,Rabat Ajax Football Ground,Point(14.40138889 35.89277778),Malta
Tollygunge Agragami,Rabindra Sarobar Stadium,Point(88.35222222 22.51166667),India
Tivoli Gardens F.C.,Railway Oval,Point(-76.799444 17.970278),Jamaica
Pakistan Railways F.C.,Railway Stadium,Point(74.35 31.56666667),Pakistan
Kabwe Warriors F.C.,Railways Stadium,Point(28.44245 -14.449738888),Zambia
Spartak Sofia,Rakovski Stadium,Point(25.111389 43.024167),Bulgaria
PFC Vidima-Rakovski Sevlievo,Rakovski Stadium,Point(25.111389 43.024167),Bulgaria
FC Sevlievo,Rakovski Stadium,Point(25.111389 43.024167),Bulgaria
Rangers F.C.,Rand Stadium,Point(28.0516 -26.2346),South Africa
Randaberg IL,Randaberg Stadion,Point(5.619538 59.0068),Norway
Ransomes Sports F.C.,Ransomes and Reavell Sports Club Ground,Point(1.18425 52.0655),United Kingdom
FC Angusht Nazran,Rashid Aushev Central Stadium,Point(44.74112778 43.23270278),Russia
Greenock Juniors F.C.,Ravenscraig Stadium,Point(-4.813056 55.940278),United Kingdom
Salisbury City F.C.,Raymond McEnhill Stadium,Point(-1.785758 51.104339),United Kingdom
Salisbury F.C.,Raymond McEnhill Stadium,Point(-1.785758 51.104339),United Kingdom
Rayong United F.C.,Rayong Province Central Stadium,Point(101.235278 12.68),Thailand
Rayong F.C.,Rayong Province Central Stadium,Point(101.235278 12.68),Thailand
Llansantffraid Village F.C.,Recreation Ground,Point(-3.153611 52.775556),United Kingdom
Alloa Athletic F.C.,Recreation Park,Point(-3.77864 56.1166),United Kingdom
Broomhill Sports Club Glasgow F.C.,Recreation Park,Point(-3.77864 56.1166),United Kingdom
Washington Crossfire,Redmond High School,Point(-122.107 47.6953),United States of America
FC Brest,Regional Sport Complex Brestskiy,Point(23.683914 52.089828),Belarus
Ballymoney United F.C.,Riada Stadium,Point(-6.498333 55.061667),United Kingdom
SK Schwadorf,Richard-Gebert-Sportanlage,Point(16.5914 48.07493),Austria
Real Maryland F.C.,Richard Montgomery High School,Point(-77.14583 39.078442),United States of America
Thanda Royal Zulu F.C.,Richards Bay Stadium,Point(32.055874 -28.743392),South Africa
Carmarthen Town A.F.C.,Richmond Park,Point(-4.302218 51.859936),United Kingdom
Oxford University A.F.C.,Roger Bannister running track,Point(-1.2431 51.7459),United Kingdom
Associação Atlética Caldense,Ronaldão,Point(-46.605833 -21.777778),Brazil
Nyköpings BIS,Rosvalla IP,Point(17.03777778 58.74888889),Sweden
NSÍ Runavík,Runavík Stadium,Point(-6.723333 62.105833),Faroe Islands
KS Elbasani,Ruzhdi Bizhuta Stadium,Point(20.091992 41.115875),Albania
FK Teleoptik,SC Partizan-Teleoptik,Point(20.3824536 44.8524527),Serbia
FK Ohrid,SRC Biljanini Izvori,Point(20.812333 41.105104),North Macedonia
Botswana Defence Force XI FC,SSKB Stadium,Point(25.8596 -24.6022),Botswana
FK Mughan,Salyan Olympic Sport Complex Stadium,Point(48.975028 39.613972),Azerbaijan
FC Helsingør,Helsingør Stadion,Point(12.5978 56.046),Denmark
Q12342954,Liseborgcentret,Point(9.37578 56.4326),Denmark
BK Marienlyst,Marienlystcentret,Point(10.3957 55.422),Denmark
Middelfart G&BK,Middelfart Stadion,Point(9.71571 55.5047),Denmark
FC Roskilde,Roskilde Idrætspark,Point(12.073 55.6372),Denmark
FC Vestsjælland,Slagelse Stadion,Point(11.364275 55.40046389),Denmark
Slagelse B&I,Slagelse Stadion,Point(11.364275 55.40046389),Denmark
Q12335302,Q12338317,Point(9.58798 56.1792),Denmark
Q40051857,Q12338317,Point(9.58798 56.1792),Denmark
VSK Aarhus,Vejlby-Risskov Hallen,Point(10.2103 56.1924),Denmark
Ølstykke FC,Ølstykke Stadium,Point(12.15 55.7833),Denmark
SC Egedal,Ølstykke Stadium,Point(12.15 55.7833),Denmark
FC Lootos Põlva,Lootospark,Point(27.04962778 58.05178333),Estonia
Viimsi FC Igiliikur,Maarjamäe Soccer Stadium,Point(24.817793 59.457636),Estonia
Coruxo FC,Campo do Vao,Point(-8.79194 42.1961),Spain
CD Ourense,Estadio do Couto,Point(-7.875555555 42.340555555),Spain
Sektzia Nes Tziona F.C.,Ness Ziona Stadium,Point(34.775203 31.915394),Israel
Maccabi Sha'arayim F.C.,Ness Ziona Stadium,Point(34.775203 31.915394),Israel
Persiba Balikpapan,Stadion Batakan,Point(116.94333333 -1.23316667),Indonesia
Martapura F.C.,Demang Lehman Stadium,Point(114.876777777 -3.436583333),Indonesia
Persido Donggala,Gawalise Stadium,Point(119.83955278 -0.92296389),Indonesia
Persipal Palu,Gawalise Stadium,Point(119.83955278 -0.92296389),Indonesia
Villa 2000,Gawalise Stadium,Point(119.83955278 -0.92296389),Indonesia
PSBK Blitar,Gelora Supriyadi Stadium,Point(112.16861111 -8.09305556),Indonesia
Blitar United,Gelora Supriyadi Stadium,Point(112.16861111 -8.09305556),Indonesia
Persip Pekalongan,Hoegeng Stadium,Point(109.666 -6.88333),Indonesia
PSB Bogor,Pajajaran Stadium,Point(106.797661 -6.577165),Indonesia
PSCS Cilacap,Wijayakusuma Stadium,Point(109.03416667 -7.69527778),Indonesia
NK Radnik Sesvete,Stadion ŠRC Sesvete,Point(16.1075 45.8364),Croatia
FC Milsami,CSR Orhei,Point(28.8192 47.3744),Moldova
FC Costuleni,CSR Orhei,Point(28.8192 47.3744),Moldova
FC Delta Tulcea,Stadionul Delta,Point(28.779722 45.1825),Romania
CSO Ovidiu,Stadionul Orășenesc (Ovidiu),Point(28.5564 44.2642),Romania
NK Dob,Dob Sports Park,Point(14.6317 46.1561),Slovenia
Q6001874,Akhisar Şehir Stadium,Point(27.83777778 38.91611111),Turkey
Alanyaspor,Alanya Oba Stadium,Point(32.079131 36.562645),Turkey
Alanyaspor,Alanya Oba Stadium,Point(32.07916 36.56261),Turkey
MC Saïda,Stade 13 Avril 1958,Point(0.15 34.8333),Algeria
Trikala F.C.,Trikala Municipal Stadium,Point(21.777019 39.552089),Greece
A.O. Trikala 1963 F.C.,Trikala Municipal Stadium,Point(21.777019 39.552089),Greece
Megas Alexandros Trikala F.C.,Trikala Municipal Stadium,Point(21.777019 39.552089),Greece
APEP Pelendriou,Pelendri Community Stadium,Point(32.969322 34.891786),Cyprus
Tsaggaris Peledriou,Pelendri Community Stadium,Point(32.969322 34.891786),Cyprus
Bangkok Christian College F.C.,TOT Stadium Chaeng Watthana,Point(100.57698 13.884131),Thailand
Raj Pracha Thailand F.C.,TOT Stadium Chaeng Watthana,Point(100.57698 13.884131),Thailand
TOT S.C.,TOT Stadium Chaeng Watthana,Point(100.57698 13.884131),Thailand
Guwahati F.C.,"Nehru Stadium, Guwahati",Point(75.14281667 15.35042222),India
Kuala Nanggroe F.C.,H. Dimurthala Stadium,Point(95.34126 5.565437),Indonesia
Savusavu F.C.,Ganilau Park,Point(179.3525121 -16.7696047),Fiji
Tullamore Town F.C.,Leah Victoria Park,Point(-7.501111 53.273333),Ireland
Q11985886,Q13403155,Point(17.4372 49.0781),Czech Republic
Aiolikos F.C.,Mytilene Municipal Stadium,Point(26.554267 39.097819),Greece
Touré Kunda Footpro,Stade Caroline Faye,Point(-16.9727 14.4292),Senegal
Stade Mbour,Stade Caroline Faye,Point(-16.9727 14.4292),Senegal
PS GAS Sawahlunto,Ombilin Stadium,Point(100.778594 -0.681639),Indonesia
Kerho 07,Seinäjoen keskuskenttä,Point(22.8511 62.7819),Finland
Persigowa Gowa,Kalegowa Stadium,Point(119.44454 -5.22358),Indonesia
NK Krka,Portoval,Point(15.1585 45.8035),Slovenia
FK Mladost Lučani,Mladost Stadium,Point(20.132608 43.860014),Serbia
Chindia Târgoviște,Stadionul Eugen Popescu,Point(25.462294 44.931558),Romania
Atlético Clube Paranavaí,Estádio Waldemiro Wagner,Point(-52.468056 -23.073889),Brazil
Maccabi Ahi Nazareth F.C.,Ilut Stadium,Point(35.265769 32.720903),Israel
Beitar al-Amal Nazareth F.C.,Ilut Stadium,Point(35.265769 32.720903),Israel
F.C. al-Nahda Nazareth,Ilut Stadium,Point(35.265769 32.720903),Israel
Hapoel al-Ittihad Nazareth F.C.,Ilut Stadium,Point(35.265769 32.720903),Israel
Shillong Lajong F.C.,"Jawaharlal Nehru Stadium, Shillong",Point(91.894326 25.579995),India
Rangdajied United F.C.,"Jawaharlal Nehru Stadium, Shillong",Point(91.894326 25.579995),India
Royal Wahingdoh F.C.,"Jawaharlal Nehru Stadium, Shillong",Point(91.894326 25.579995),India
Langsning F.C.,"Jawaharlal Nehru Stadium, Shillong",Point(91.894326 25.579995),India
ASU Politehnica Timișoara,Stadionul Știința,Point(21.228333333 45.746111111),Romania
FC Politehnica II Timișoara,Stadionul Știința,Point(21.228333333 45.746111111),Romania
Barnet F.C.,The Hive Stadium,Point(-0.291785 51.6026),United Kingdom
Persiba Bantul,Sultan Agung Stadium,Point(110.380388888 -7.87525),Indonesia
Protaba Bantul,Sultan Agung Stadium,Point(110.380388888 -7.87525),Indonesia
Dinaburg FC,Daugava Stadium,Point(26.55053 55.874637),Latvia
Indiana Invaders,Indiana Invaders Soccer Complex,Point(-86.3498 41.6908),United States of America
New Jersey Gladiators SC,Pascack Valley High School,Point(-74.0287 41.0083),United States of America
Western Mass Pioneers,Lusitano Stadium,Point(-72.4699 42.1579),United States of America
Dayton Gemini,Baujan Field,Point(-84.1778 39.7381),United States of America
Dayton Gemini,Baujan Field,Point(-84.17744 39.73811),United States of America
South Melbourne Football Club,Lakeside Stadium,Point(144.965 -37.84027778),Australia
Wolfsberger AC,Lavanttal-Arena,Point(14.8514 46.8253),Austria
IFK Holmsund,Kamratvallen,Point(20.35361111 63.70138889),Sweden
Ludvika FK,Hillängens IP,Point(15.20888889 60.15),Sweden
PTT Rayong,PTT Stadium,Point(101.166 12.7678),Thailand
Hawick Royal Albert F.C.,Albert Park,Point(-2.76277778 55.43305556),United Kingdom
FC Pyunik,Football Academy Stadium (Yerevan),Point(44.55527778 40.22111111),Armenia
CD Colonia Moscardó,Estadio Román Valero,Point(-3.705211111 40.388491666),Spain
Long Island Rough Riders,Hofstra University Soccer Stadium,Point(-73.59866383 40.71848583),United States of America
Apollon Kalamarias F.C.,Kalamaria Stadium,Point(22.94511389 40.581475),Greece
PFC Kaliakra Kavarna,Kavarna Stadium,Point(28.33111111 43.42833333),Bulgaria
S.L. Benfica,Estádio da Luz,Point(-9.184680555 38.752677777),Portugal
S.L. Benfica,Estádio da Luz,Point(-9.184680555 38.752677777),Portugal
S.L. Benfica B,Estádio da Luz,Point(-9.184680555 38.752677777),Portugal
Southern Oregon Fuego,US Cellular Community Park,Point(-122.847 42.3032),United States of America
Uberaba Sport Club,Uberabão,Point(-47.9397 -19.7394),Brazil
Nacional Futebol Clube,Uberabão,Point(-47.9397 -19.7394),Brazil
Milwaukee Rampage,Uihlein Soccer Park,Point(-87.998833333 43.146666666),United States of America
Flint City Bucks,Ultimate Soccer Arenas,Point(-83.254167 42.621111),United States of America
Etincelles F.C.,Umuganda Stadium,Point(29.2626 -1.67544),Rwanda
Marines FC,Umuganda Stadium,Point(29.2626 -1.67544),Rwanda
Etincelles F.C.,Umuganda Stadium,Point(29.262611 -1.675556),Rwanda
Marines FC,Umuganda Stadium,Point(29.262611 -1.675556),Rwanda
Rochedale Rovers Football Club,"Underwood Park, Rochedale",Point(153.148333 -27.600556),Australia
Chico Rooks,"University Soccer Stadium, Chico",Point(-121.853889 39.732222),United States of America
State Bank of Travancore F.C.,University Stadium,Point(76.9512 8.50786),India
SC Waterloo Region,University Stadium,Point(-80.53 43.470278),Canada
Winnipeg Fury,University Stadium,Point(-97.1462 49.8067),Canada
Uniao Flamengo Santos F.C.,University of Botswana Stadium,Point(25.940571 -24.655114),Botswana
Detroit Titans football,University of Detroit Stadium,Point(-83.1366 42.4158),United States of America
Kaya F.C.,University of Makati Stadium,Point(121.057 14.5636),Philippines
Kilbirnie Ladeside F.C.,Valefield Park,Point(-4.682778 55.745278),United Kingdom
Des Moines Menace,Valley High School,Point(-93.754 41.588),United States of America
Ventura County Fusion,Ventura College,Point(-119.232 34.2776),United States of America
FC Victoria Rosport,VictoriArena,Point(6.50567 49.8085),Luxembourg
Collingwood Warriors S.C.,Victoria Park,Point(144.996389 -37.798333),Australia
Brampton United,Victoria Park Stadium,Point(-79.6995 43.7042),Canada
Brampton Stallions,Victoria Park Stadium,Point(-79.6995 43.7042),Canada
Rockford Rampage,Victory Sports Complex,Point(-89.0273 42.3247),United States of America
IK Frej,Vikingavallen,Point(18.075 59.4919),Sweden
Väsby IK FK,Vilundavallen,Point(17.9217 59.5172),Sweden
Virginia Beach Mariners,Virginia Beach Sportsplex,Point(-76.0935 36.7687),United States of America
Virginia Beach Piranhas,Virginia Beach Sportsplex,Point(-76.0935 36.7687),United States of America
Virginia Beach City FC,Virginia Beach Sportsplex,Point(-76.0935 36.7687),United States of America
FK Voždovac,Voždovac Stadium,Point(20.4902 44.7749),Serbia
IFK Karlshamn,Vägga IP,Point(14.880833333 56.163888888),Sweden
Kiveton Park F.C.,Wales High School,Point(-1.27375 53.3435),United Kingdom
Inglewood United,Inglewood Stadium,Point(115.879111 -31.91647),Australia
Stourbridge F.C.,War Memorial Athletic Ground,Point(-2.15136 52.4626),United Kingdom
Corwen F.C.,War Memorial Athletic Ground,Point(-2.15136 52.4626),United Kingdom
Ajax Orlando Prospects,Warden Stadium,Point(-81.4198 28.5188),United States of America
Salinas Valley Samba,Watsonville High School,Point(-121.752 36.9133),United States of America
Clarence United,"Wentworth Park, Tasmania",Point(147.394 -42.8789),Australia
Riverside County Elite,West Valley High School,Point(-116.964 33.7508),United States of America
Roses United F.C.,Westdene Stadium,Point(26.207044 -29.106899),South Africa
Avro F.C.,Whitebank Stadium,Point(-2.121747 53.518542),United Kingdom
Cambuslang F.C.,Whitefield Park,Point(-4.16 55.81),United Kingdom
Pennsylvania Stoners,Whitehall High School,Point(-75.5041 40.6481),United States of America
Madiun FC,Wilis Stadium,Point(111.53 -7.631),Indonesia
Madiun Putra FC,Wilis Stadium,Point(111.53 -7.631),Indonesia
Persekama Madiun,Wilis Stadium,Point(111.53 -7.631),Indonesia
Jakarta FC 1928,Wilis Stadium,Point(111.53 -7.631),Indonesia
Chesterfield United FC,Williams Stadium,Point(-79.175 37.354),United States of America
Reading United A.C.,Wilson High School,Point(-76.0007 40.3311),United States of America
Witton Albion F.C.,Wincham Park,Point(-2.488717 53.270472),United Kingdom
Windsor Stars,Windsor Stadium,Point(-83.0191 42.2939),Canada
Sons of Italy Lions SC,Winnipeg Soccer Complex,Point(-97.1487 49.8061),Canada
WSA Winnipeg,Winnipeg Soccer Complex,Point(-97.1487 49.8061),Canada
FC Sparta Michigan,Wisner Stadium,Point(-83.3068 42.6483),United States of America
Westfield F.C.,Woking Park,Point(-0.557 51.31),United Kingdom
South Coast Wolves FC,Wollongong Showground,Point(150.9025 -34.427778),Australia
City of Lusaka F.C.,Woodlands Stadium,Point(28.3475 -15.4459),Zambia
NAPSA Stars F.C.,Woodlands Stadium,Point(28.3475 -15.4459),Zambia
Anhui Jiufang F.C.,Wuhu Olympic Stadium,Point(118.376 31.3112),People's Republic of China
Nanjing Yoyo F.C.,Wutaishan Stadium,Point(118.769 32.051),People's Republic of China
Hanover Park F.C.,Wynberg Military Base Stadium,Point(18.460894 -34.009003),South Africa
Orfeas Xanthi F.C.,Xanthi Ground,Point(24.893889 41.143889),Greece
Xiamen Blue Lions F.C.,Xiamen Stadium,Point(118.104 24.4889),People's Republic of China
Xorazm FK Urganch,Xorazm Stadium,Point(60.605 41.5661),Uzbekistan
Institute F.C.,YMCA Grounds,Point(-7.278392 54.976122),United Kingdom
Porthmadog F.C.,Y Traeth,Point(-4.1204 52.932),United Kingdom
Energetik FC,Yashar Mammadzade Stadium,Point(47.0425 40.763056),Azerbaijan
Super Reds FC,Yishun Stadium,Point(103.832334 1.412389),Singapore
Sembawang Rangers FC,Yishun Stadium,Point(103.832334 1.412389),Singapore
Hunan Billows F.C.,Yiyang Stadium,Point(112.352064 28.55509),People's Republic of China
Maidenhead United F.C.,York Road,Point(-0.717989 51.519881),United Kingdom
FC Hirnyk-Sport Komsomolsk,Yunist Stadium,Point(33.6481 49.0042),Ukraine
FC Smorgon,Yunost Stadium,Point(26.4044 54.479),Belarus
FK Kukësi,Zeqir Ymeri Stadium,Point(20.7003 42.1422),Albania
Zeytinburnuspor,Zeytinburnu Stadium,Point(28.911944 40.993889),Turkey
FC Caspiy,Zhastar Stadium,Point(51.147333 43.664659),Kazakhstan
PAS Giannina F.C.,Zosimades Stadium,Point(20.848669 39.667647),Greece
FK Slovan Duslo Šaľa,Šaľa Stadium,Point(17.88095278 48.16459722),Slovakia
FK Šilutė,Šilutė Stadium,Point(21.4831 55.3367),Lithuania
Brasiliense Futebol Clube,Serejão,Point(-48.080657 -15.836146),Brazil
Thespakusatsu Gunma,Shoda Shoyu Stadium Gunma,Point(139.053258 36.411613),Japan
Q605577,Q8256412,Point(2.71735 39.7722),Spain
FC Senec,NTC Senec,Point(17.410412 48.217703),Slovakia
RCD Espanyol B,Ciutat Esportiva Dani Jarque,Point(2.21278 41.4261),Spain
Caudal Deportivo,Estadio Hermanos Antuña,Point(-5.780241666 43.256572222),Spain
Trujillanos FC,Estadio José Alberto Pérez,Point(-70.6023 9.333358),Venezuela
Club Deportivo Barrio Mexico,Q8842819,Point(-84.056666666 9.946111111),Costa Rica
Anagennisi Germasogeias FC,Yermasoyia Municipal Stadium,Point(33.088859 34.702831),Cyprus
ASPIS Pylas,Pyla Community Stadium,Point(33.692886 35.010126),Cyprus
Fotiakos Frenarou,Frenaros Community Stadium,Point(33.916338 35.032426),Cyprus
Olympias Frenarou FC,Frenaros Community Stadium,Point(33.916338 35.032426),Cyprus
Enosis Kokkinotrimithia,Kokkinotrimithia Community Stadium,Point(33.200218 35.162729),Cyprus
Olympias Lympion,Olympias Lympion Stadium,Point(33.470662 34.992204),Cyprus
OXEN Peristeronas,OXEN Peristerona Stadium,Point(33.08500785 35.12703078),Cyprus
Podosfairikos Omilos Xylotymvou 2006,Xylotymvou Community Stadium,Point(33.755069 35.007436),Cyprus
Kimonas Xylotympou,Xylotymvou Community Stadium,Point(33.755069 35.007436),Cyprus
AMEP Parekklisia,Parekklisia Community Stadium,Point(33.160694444 34.736166666),Cyprus
ATE PEK Parekklisias,Parekklisia Community Stadium,Point(33.160694444 34.736166666),Cyprus
AEN Ayiou Georgiou Vrysoullon-Acheritou,Olympos Acheritou Stadium,Point(33.880476 35.07385),Cyprus
Olympos Acheritou,Olympos Acheritou Stadium,Point(33.880476 35.07385),Cyprus
Nikos & Sokratis Erimis,Erimi Community Stadium,Point(32.921718 34.677839),Cyprus
Kouris Erimis,Erimi Community Stadium,Point(32.921718 34.677839),Cyprus
Ayutthaya United F.C.,Ayutthaya Province Stadium,Point(100.59726 14.350236),Thailand
Ayutthaya Warrior F.C.,Ayutthaya Province Stadium,Point(100.59726 14.350236),Thailand
Sporting Canamy,Estadio Olímpico de Oaxtepec,Point(-98.9703 18.9071),Mexico
FC Isloch Minsk Raion,FC Minsk Stadium,Point(27.57861111 53.86166667),Belarus
UiTM FC,UiTM Stadium,Point(102.245 2.20274),Malaysia
Wayside Celtic F.C.,"Jackson Park, Kilternan",Point(-6.1867 53.2409),Ireland
Hapoel Lod F.C.,Lod Municipal Stadium,Point(34.893166666 31.93925),Israel
F.C. Kafr Qasim,Lod Municipal Stadium,Point(34.893166666 31.93925),Israel
Beitar Lod F.C.,Lod Municipal Stadium,Point(34.893166666 31.93925),Israel
HaKochav Lod F.C.,Lod Municipal Stadium,Point(34.893166666 31.93925),Israel
F.C. Tzeirei Lod,Lod Municipal Stadium,Point(34.893166666 31.93925),Israel
DRB Tadjenanet,Lahoua Smaïl Stadium,Point(6.0 36.116667),Algeria
Preah Khan Reach F.C.,Svay Rieng Stadium,Point(105.802856 11.082328),Cambodia
Arenas Club de Getxo,Campo Municipal de Gobela,Point(-3.00646667 43.33146944),Spain
CD Numancia B,Ciudad del Fútbol Francisco Rubio Garcés,Point(-2.50555563 41.78194427),Spain
Dafni Troulloi,Troulloi Community Stadium,Point(33.612047 35.028193),Cyprus
Sourouklis Troullon,Troulloi Community Stadium,Point(33.612047 35.028193),Cyprus
Troulloi FC 2015,Troulloi Community Stadium,Point(33.612047 35.028193),Cyprus
Raj-Vithi F.C.,Boonyachinda Stadium,Point(100.577392 13.867163),Thailand
Central Lions F.C.,Boonyachinda Stadium,Point(100.577392 13.867163),Thailand
Kasetsart University F.C.,Boonyachinda Stadium,Point(100.577392 13.867163),Thailand
Seeker F.C.,Boonyachinda Stadium,Point(100.577392 13.867163),Thailand
Look Isan 2 F.C.,Ramkhamhaeng University Stadium,Point(100.616949 13.7547227),Thailand
Lookphorkhun United F.C.,Ramkhamhaeng University Stadium,Point(100.616949 13.7547227),Thailand
Singburi F.C.,Singburi Province Stadium,Point(100.41039276 14.89446259),Thailand
Eastern F.C.,Barrowfield Park,Point(-4.2216 55.8402),United Kingdom
Thistle F.C.,Braehead Park,Point(-4.2365 55.8417),United Kingdom
Northern F.C.,Hyde Park,Point(-4.2315 55.8799),United Kingdom
St. Bernard's F.C.,Royal Gymnasium Ground,Point(-3.1974 55.9602),United Kingdom
Renton F.C.,Tontine Park,Point(-4.5824 55.9657),United Kingdom
Melaka Tengah FC,Tun Fatimah Stadium,Point(102.42227778 2.30516667),Malaysia
Jasin FC,Tun Fatimah Stadium,Point(102.42227778 2.30516667),Malaysia
Chanthaburi F.C.,Chanthaburi Province Stadium,Point(102.105579 12.610063),Thailand
Q2405679,Sportpark Hoogkerk,Point(6.510833 53.208611),Netherlands
SD Eibar B,Unbe Facilities,Point(-2.46861111 43.175),Spain
Paris Saint-Germain F.C. Reserves and Academy,Stade Municipal Georges Lefèvre,Point(2.0815 48.9126),France
Guiseley A.F.C.,Nethermoor Park,Point(-1.71943057 53.87717819),United Kingdom
Q2159602,Q21127433,Point(5.096591 50.288719),Belgium
Seinäjoen Jalkapallokerho,OmaSp Stadion,Point(22.815588888 62.778469444),Finland
Veitongo FC,Loto-Tonga Soka Centre,Point(-175.2230169 -21.1901862),Tonga
Anagennisi Lythrodonta,Anagennisi Lythrodonta Ground,Point(33.305277777 34.950555555),Cyprus
Pattani F.C.,Pattani Province Stadium,Point(101.244239 6.888911),Thailand
J.W. Rangsit F.C.,Rangsit University Stadium,Point(100.587001 13.966975),Thailand
JSM Skikda,Stade 20 Août 1955 (Skikda),Point(6.9 36.8667),Algeria
Santa Ana Winds FC,Santa Ana Stadium,Point(-117.8775 33.7506),United States of America
FC Petit-Goâve,Parc Anglade,Point(-72.861555555 18.43175),Haiti
Inter Grand-Goave,Parc Ferrus,Point(-72.771694444 18.429694444),Haiti
Valencia FC,Parc Indrich de Four,Point(-72.627027777 18.507527777),Haiti
AS Cavaly,Parc Julia Vilbon,Point(-72.638916666 18.456083333),Haiti
America FC,Parc de Foot Land des Gabions des Cayes,Point(-73.754666666 18.191638888),Haiti
Victory SC,Parc de Foot Land des Gabions des Cayes,Point(-73.754666666 18.191638888),Haiti
Ouanaminthe FC,Parc Notre-Dame,Point(-71.725833333 19.539361111),Haiti
Racine FC,Parc Roland Abdallah,Point(-72.678055555 19.6685),Haiti
US LaJeune,Parc Saint-Joseph,Point(-72.079444444 19.292888888),Haiti
Don Bosco FC,Saint-Therese Park,Point(-72.2925 18.515555555),Haiti
Racing FC,Parc Stenio Vincent,Point(-72.682 19.448805555),Haiti
SK Pardubice,Letní stadion (Pardubice),Point(15.770401944 50.041106944),Czech Republic
